instrument,model,side,bias,entry_ts,exit_ts,entry,exit,r,pnl_pct,bars,reason,partial_tp1
ES,S3,long,RISK_ON,2016-04-17 00:00:00+00:00,2016-04-28 00:00:00+00:00,2063.25,2069.25,0.8139147009768798,0.004069573504884399,10,EMA_TRAIL,True
NQ,S3,long,RISK_ON,2016-06-07 00:00:00+00:00,2016-06-10 00:00:00+00:00,4506.25,4486.410714285715,-1.0,-0.005,3,SL,False
YM,S3,long,RISK_ON,2016-06-10 00:00:00+00:00,2016-06-13 00:00:00+00:00,17865.0,17746.821428571428,-1.0,-0.005,2,SL,False
ES,S3,long,RISK_ON,2016-06-10 00:00:00+00:00,2016-06-13 00:00:00+00:00,2096.5,2081.8125,-1.0,-0.005,2,SL,False
NQ,S2,long,RISK_ON,2016-07-20 00:00:00+00:00,2016-09-09 00:00:00+00:00,4657.0,4668.5,0.11253822629969419,0.000562691131498471,44,SMA50_BREAK,False
YM,S3,long,RISK_ON,2016-07-25 00:00:00+00:00,2016-07-26 00:00:00+00:00,18414.0,18322.60714285714,-1.0,-0.005,1,SL,False
ES,S3,long,RISK_ON,2016-07-25 00:00:00+00:00,2016-08-01 00:00:00+00:00,2161.75,2161.75,0.2748858447488598,0.001374429223744299,6,STOP_AFTER_TP1,True
YM,S3,long,RISK_ON,2016-07-27 00:00:00+00:00,2016-08-02 00:00:00+00:00,18414.0,18253.0,-1.0,-0.005,5,SL,False
NKD,S3,long,RISK_ON,2016-07-28 00:00:00+00:00,2016-07-29 00:00:00+00:00,16460.0,16223.75,-1.0,-0.005,1,SL,False
NKD,S3,long,RISK_ON,2016-08-01 00:00:00+00:00,2016-08-02 00:00:00+00:00,16540.0,16184.82142857143,-1.0,-0.005,1,SL,False
DAX,S3,long,RISK_ON,2016-08-02 00:00:00+00:00,2016-09-09 00:00:00+00:00,10145.0,10466.0,3.0767137268242823,0.015383568634121412,28,EMA_TRAIL,True
ES,S3,long,RISK_ON,2016-08-02 00:00:00+00:00,2016-08-24 00:00:00+00:00,2152.75,2173.25,1.2007797270955252,0.006003898635477626,19,EMA_TRAIL,True
YM,S3,long,RISK_ON,2016-08-09 00:00:00+00:00,2016-08-17 00:00:00+00:00,18453.0,18453.0,0.49261702796104645,0.0024630851398052323,7,STOP_AFTER_TP1,True
