ticker,ts,ann_date,session,est,act,surp
ADP,2022-10-26 06:00:00-04:00,2022-10-26,bmo,1.79,1.86,3.91
ADP,2023-01-25 06:00:00-05:00,2023-01-25,bmo,1.94,1.96,1.15
ADP,2023-04-26 06:00:00-04:00,2023-04-26,bmo,2.45,2.52,2.73
ADP,2023-07-26 06:00:00-04:00,2023-07-26,bmo,1.83,1.89,3.16
ADP,2023-10-25 06:00:00-04:00,2023-10-25,bmo,2.02,2.08,2.8
ADP,2024-01-31 06:00:00-05:00,2024-01-31,bmo,2.1,2.13,1.35
ADP,2024-05-01 06:00:00-04:00,2024-05-01,bmo,2.78,2.88,3.45
ADP,2024-07-31 06:00:00-04:00,2024-07-31,bmo,2.06,2.09,1.38
ADP,2024-10-30 06:00:00-04:00,2024-10-30,bmo,2.21,2.33,5.32
ADP,2025-01-29 06:00:00-05:00,2025-01-29,bmo,2.3,2.35,2.38
ADP,2025-04-30 06:00:00-04:00,2025-04-30,bmo,2.97,3.06,2.93
ADP,2025-07-30 06:00:00-04:00,2025-07-30,bmo,2.23,2.26,1.5
ADP,2025-10-29 06:00:00-04:00,2025-10-29,bmo,2.45,2.49,1.8
XEL,2021-01-28 06:00:00-05:00,2021-01-28,bmo,0.54,0.54,-0.19
XEL,2021-04-29 06:00:00-04:00,2021-04-29,bmo,0.61,0.67,10.48
XEL,2021-07-29 06:00:00-04:00,2021-07-29,bmo,0.57,0.58,2.05
XEL,2021-10-28 06:00:00-04:00,2021-10-28,bmo,1.17,1.13,-3.82
XEL,2022-01-27 06:00:00-05:00,2022-01-27,bmo,0.57,0.58,0.96
XEL,2022-04-28 06:00:00-04:00,2022-04-28,bmo,0.68,0.7,3.26
XEL,2022-07-28 06:00:00-04:00,2022-07-28,bmo,0.6,0.6,-0.58
XEL,2022-10-27 06:00:00-04:00,2022-10-27,bmo,1.22,1.18,-3.23
XEL,2023-01-26 06:00:00-05:00,2023-01-26,bmo,0.67,0.69,2.36
XEL,2023-04-27 06:00:00-04:00,2023-04-27,bmo,0.74,0.76,2.98
XEL,2023-07-27 06:00:00-04:00,2023-07-27,bmo,0.57,0.52,-8.0
XEL,2023-10-27 06:00:00-04:00,2023-10-27,bmo,1.26,1.23,-2.65
XEL,2024-01-25 06:00:00-05:00,2024-01-25,bmo,0.83,0.83,-0.41
XEL,2024-04-25 06:00:00-04:00,2024-04-25,bmo,0.77,0.88,13.61
XEL,2024-08-01 06:00:00-04:00,2024-08-01,bmo,0.57,0.54,-5.33
XEL,2024-10-31 06:00:00-04:00,2024-10-31,bmo,1.26,1.25,-0.95
XEL,2025-02-06 06:00:00-05:00,2025-02-06,bmo,0.88,0.81,-7.48
XEL,2025-04-24 06:00:00-04:00,2025-04-24,bmo,0.92,0.84,-8.64
XEL,2025-07-31 06:00:00-04:00,2025-07-31,bmo,0.64,0.75,16.29
XEL,2025-10-30 06:00:00-04:00,2025-10-30,bmo,1.32,1.24,-5.94
UPS,2022-02-01 06:00:00-05:00,2022-02-01,bmo,3.1,3.59,15.64
UPS,2022-04-26 06:00:00-04:00,2022-04-26,bmo,2.88,3.05,5.82
UPS,2022-07-26 06:00:00-04:00,2022-07-26,bmo,3.16,3.29,4.13
UPS,2022-10-25 06:00:00-04:00,2022-10-25,bmo,2.85,2.99,4.88
UPS,2023-01-31 06:00:00-05:00,2023-01-31,bmo,3.58,3.62,1.04
UPS,2023-04-25 06:00:00-04:00,2023-04-25,bmo,2.21,2.2,-0.4
UPS,2023-08-08 06:00:00-04:00,2023-08-08,bmo,2.5,2.54,1.8
UPS,2023-10-26 06:00:00-04:00,2023-10-26,bmo,1.56,1.57,0.57
UPS,2024-01-30 06:00:00-05:00,2024-01-30,bmo,2.46,2.47,0.41
UPS,2024-04-23 06:00:00-04:00,2024-04-23,bmo,1.34,1.43,6.74
UPS,2024-07-23 06:00:00-04:00,2024-07-23,bmo,1.99,1.79,-10.1
UPS,2024-10-24 06:00:00-04:00,2024-10-24,bmo,1.62,1.76,8.45
UPS,2025-01-30 06:00:00-05:00,2025-01-30,bmo,2.53,2.75,8.6
UPS,2025-04-29 06:00:00-04:00,2025-04-29,bmo,1.38,1.49,7.91
UPS,2025-07-29 06:00:00-04:00,2025-07-29,bmo,1.57,1.55,-1.02
UPS,2025-10-28 06:00:00-04:00,2025-10-28,bmo,1.3,1.74,33.94
AMZN,2022-02-03 16:00:00-05:00,2022-02-03,amc,0.19,1.39,641.94
AMZN,2022-04-28 16:00:00-04:00,2022-04-28,amc,0.41,-0.38,-191.55
AMZN,2022-07-28 16:00:00-04:00,2022-07-28,amc,0.12,-0.2,-273.3
AMZN,2022-10-27 16:00:00-04:00,2022-10-27,amc,0.21,0.28,33.0
AMZN,2023-02-02 16:00:00-05:00,2023-02-02,amc,0.16,0.03,-81.68
AMZN,2023-04-27 16:00:00-04:00,2023-04-27,amc,0.21,0.31,46.82
AMZN,2023-08-03 16:00:00-04:00,2023-08-03,amc,0.34,0.65,91.19
AMZN,2023-10-26 16:00:00-04:00,2023-10-26,amc,0.58,0.94,62.22
AMZN,2024-02-01 16:00:00-05:00,2024-02-01,amc,0.8,1.0,24.38
AMZN,2024-04-30 16:00:00-04:00,2024-04-30,amc,0.83,0.98,17.67
AMZN,2024-08-01 12:00:00-04:00,2024-08-01,amc,1.03,1.26,22.92
AMZN,2024-10-31 16:00:00-04:00,2024-10-31,amc,1.14,1.43,25.17
AMZN,2025-02-06 16:00:00-05:00,2025-02-06,amc,1.48,1.86,25.36
AMZN,2025-05-01 16:00:00-04:00,2025-05-01,amc,1.36,1.59,17.08
AMZN,2025-07-31 16:00:00-04:00,2025-07-31,amc,1.33,1.68,26.13
AMZN,2025-10-30 16:00:00-04:00,2025-10-30,amc,1.56,1.95,25.2
GWW,2021-02-03 08:00:00-05:00,2021-02-03,bmo,3.86,3.66,-5.26
GWW,2021-04-30 08:00:00-04:00,2021-04-30,bmo,4.32,4.48,3.7
GWW,2021-07-30 08:00:00-04:00,2021-07-30,bmo,4.62,4.27,-7.58
GWW,2021-10-29 08:00:00-04:00,2021-10-29,bmo,5.31,5.65,6.44
GWW,2022-02-03 08:00:00-05:00,2022-02-03,bmo,5.23,5.44,4.03
GWW,2022-04-28 08:00:00-04:00,2022-04-28,bmo,6.12,7.07,15.53
GWW,2022-07-29 08:00:00-04:00,2022-07-29,bmo,6.61,7.19,8.77
GWW,2022-10-28 08:00:00-04:00,2022-10-28,bmo,7.25,8.27,14.07
GWW,2023-02-02 08:00:00-05:00,2023-02-02,bmo,7.0,7.14,2.07
GWW,2023-04-27 08:00:00-04:00,2023-04-27,bmo,8.53,9.61,12.71
GWW,2023-07-27 08:00:00-04:00,2023-07-27,bmo,9.09,9.28,2.05
GWW,2023-10-26 08:00:00-04:00,2023-10-26,bmo,8.93,9.43,5.63
GWW,2024-02-02 08:00:00-05:00,2024-02-02,bmo,8.08,8.33,3.14
GWW,2024-04-25 08:00:00-04:00,2024-04-25,bmo,9.63,9.62,-0.14
GWW,2024-08-01 08:00:00-04:00,2024-08-01,bmo,9.59,9.76,1.75
GWW,2024-10-31 08:00:00-04:00,2024-10-31,bmo,9.98,9.87,-1.13
GWW,2025-01-31 08:00:00-05:00,2025-01-31,bmo,9.74,9.71,-0.32
GWW,2025-05-01 08:00:00-04:00,2025-05-01,bmo,9.51,9.86,3.69
GWW,2025-08-01 08:00:00-04:00,2025-08-01,bmo,10.07,9.97,-1.03
GWW,2025-10-31 08:00:00-04:00,2025-10-31,bmo,9.95,10.21,2.58
PNC,2022-01-18 06:00:00-05:00,2022-01-18,bmo,3.15,2.86,-9.11
PNC,2022-04-14 06:00:00-04:00,2022-04-14,bmo,2.75,3.23,17.33
PNC,2022-07-15 06:00:00-04:00,2022-07-15,bmo,3.14,3.39,8.04
PNC,2022-10-14 06:00:00-04:00,2022-10-14,bmo,3.7,3.78,2.16
PNC,2023-01-18 06:00:00-05:00,2023-01-18,bmo,3.95,3.47,-12.08
PNC,2023-04-14 06:00:00-04:00,2023-04-14,bmo,3.64,3.98,9.31
PNC,2023-07-18 06:00:00-04:00,2023-07-18,bmo,3.28,3.36,2.49
PNC,2023-10-13 06:00:00-04:00,2023-10-13,bmo,3.11,3.6,15.89
PNC,2024-01-16 06:00:00-05:00,2024-01-16,bmo,2.04,1.85,-9.44
PNC,2024-04-16 06:00:00-04:00,2024-04-16,bmo,2.99,3.1,3.75
PNC,2024-07-16 06:00:00-04:00,2024-07-16,bmo,3.68,3.39,-8.0
PNC,2024-10-15 06:00:00-04:00,2024-10-15,bmo,3.32,3.49,5.02
PNC,2025-01-16 06:00:00-05:00,2025-01-16,bmo,3.35,3.77,12.65
PNC,2025-04-15 06:00:00-04:00,2025-04-15,bmo,3.38,3.51,3.95
PNC,2025-07-16 06:00:00-04:00,2025-07-16,bmo,3.55,3.85,8.48
PNC,2025-10-15 06:00:00-04:00,2025-10-15,bmo,4.04,4.35,7.58
WEC,2021-02-04 07:00:00-05:00,2021-02-04,bmo,0.73,0.76,4.25
WEC,2021-05-03 07:00:00-04:00,2021-05-03,bmo,1.47,1.61,9.63
WEC,2021-08-03 07:00:00-04:00,2021-08-03,bmo,0.79,0.87,9.84
WEC,2021-11-02 07:00:00-04:00,2021-11-02,bmo,0.79,0.92,15.89
WEC,2022-02-03 07:00:00-05:00,2022-02-03,bmo,0.67,0.71,5.38
WEC,2022-05-02 07:00:00-04:00,2022-05-02,bmo,1.69,1.79,5.84
WEC,2022-08-02 07:00:00-04:00,2022-08-02,bmo,0.85,0.91,6.44
WEC,2022-11-01 07:00:00-04:00,2022-11-01,bmo,0.86,0.96,11.64
WEC,2023-02-02 07:00:00-05:00,2023-02-02,bmo,0.75,0.8,7.37
WEC,2023-05-01 07:00:00-04:00,2023-05-01,bmo,1.58,1.61,1.85
WEC,2023-08-01 07:00:00-04:00,2023-08-01,bmo,0.85,0.92,8.49
WEC,2023-10-31 07:00:00-04:00,2023-10-31,bmo,0.91,1.0,9.84
WEC,2024-02-01 07:00:00-05:00,2024-02-01,bmo,1.08,1.1,1.44
WEC,2024-05-01 07:00:00-04:00,2024-05-01,bmo,1.91,1.97,3.33
WEC,2024-07-31 07:00:00-04:00,2024-07-31,bmo,0.63,0.67,6.24
WEC,2024-10-31 07:00:00-04:00,2024-10-31,bmo,0.7,0.76,8.21
WEC,2025-02-04 07:00:00-05:00,2025-02-04,bmo,1.43,1.43,-0.31
WEC,2025-05-06 07:00:00-04:00,2025-05-06,bmo,2.18,2.27,4.28
WEC,2025-07-30 07:00:00-04:00,2025-07-30,bmo,0.71,0.76,7.6
WEC,2025-10-30 07:00:00-04:00,2025-10-30,bmo,0.81,0.83,2.24
FAST,2021-01-20 06:00:00-05:00,2021-01-20,bmo,0.17,0.17,2.93
FAST,2021-04-13 06:00:00-04:00,2021-04-13,bmo,0.18,0.19,0.78
FAST,2021-07-13 06:00:00-04:00,2021-07-13,bmo,0.21,0.21,1.25
FAST,2021-10-12 06:00:00-04:00,2021-10-12,bmo,0.21,0.21,1.08
FAST,2022-01-19 06:00:00-05:00,2022-01-19,bmo,0.19,0.2,7.23
FAST,2022-04-13 06:00:00-04:00,2022-04-13,bmo,0.22,0.24,4.47
FAST,2022-07-13 06:00:00-04:00,2022-07-13,bmo,0.25,0.25,1.05
FAST,2022-10-13 06:00:00-04:00,2022-10-13,bmo,0.24,0.25,3.5
FAST,2023-01-19 06:00:00-05:00,2023-01-19,bmo,0.21,0.22,2.65
FAST,2023-04-13 06:00:00-04:00,2023-04-13,bmo,0.25,0.26,3.11
FAST,2023-07-13 06:00:00-04:00,2023-07-13,bmo,0.26,0.26,-0.79
FAST,2023-10-12 06:00:00-04:00,2023-10-12,bmo,0.25,0.26,3.49
FAST,2024-01-18 06:00:00-05:00,2024-01-18,bmo,0.22,0.23,2.26
FAST,2024-04-11 06:00:00-04:00,2024-04-11,bmo,0.26,0.26,-1.88
FAST,2024-07-12 06:00:00-04:00,2024-07-12,bmo,0.25,0.26,0.15
FAST,2024-10-11 06:00:00-04:00,2024-10-11,bmo,0.26,0.26,1.0
FAST,2025-01-17 06:00:00-05:00,2025-01-17,bmo,0.24,0.23,-3.83
FAST,2025-04-11 06:00:00-04:00,2025-04-11,bmo,0.26,0.26,0.05
FAST,2025-07-14 06:00:00-04:00,2025-07-14,bmo,0.27,0.29,8.33
FAST,2025-10-13 06:00:00-04:00,2025-10-13,bmo,0.3,0.29,-2.2
AAP,2022-02-14 16:00:00-05:00,2022-02-14,amc,1.97,2.07,4.97
AAP,2022-05-23 16:00:00-04:00,2022-05-23,amc,3.59,3.57,-0.45
