symbol,asset_class,report_week_ts,release_ts,entry_week_open_ts,entry_ts,exit_ts,direction,at_extreme,cot_index,net_change,net_change_sigma,limit_px,week_open_px,gap_pct,filled_at_open,entry_px,stop_px,exit_px,exit_reason,ret_pct,r_multiple,year,bars_held
ES,Index,1509321600,1509753600,1509922800,1509922800,1510527600,-1,True,91.9,34214,0.857,2581.25,2580.0,-0.0484,False,2581.0,2606.81,2580.5,TIME,0.019372336303758234,0.019372336303758234,2017,30
6A,FX,1509926400,1510358400,1510527600,1510542000,1511132400,-1,False,79.38,-6171,0.814,0.7658,0.7648,-0.1306,False,0.7657,0.7733570000000001,0.7555999999999999,TIME,1.3190544599712823,1.3190544599712823,2017,29
6E,FX,1509926400,1510358400,1510527600,1510570800,1510671600,-1,True,96.11,13358,1.078,1.1687,1.16775,-0.0813,False,1.1686,1.1802860000000002,1.1803860000000002,STOP,-1.008557247989053,-1.008557247989053,2017,8
6E,FX,1511136000,1511568000,1511737200,1511737200,1512342000,-1,True,99.19,10851,0.875,1.19395,1.19475,0.067,True,1.19465,1.2065965,1.18795,TIME,0.5608337169882333,0.5608337169882333,2017,30
ES,Index,1512345600,1512777600,1512946800,1512946800,1513350000,-1,True,93.06,54396,1.41,2651.75,2652.0,0.0094,True,2651.75,2678.2675,2678.5175,STOP,-1.0094277364004876,-1.0094277364004876,2017,29
6E,FX,1512950400,1513382400,1513551600,1513551600,1513782000,-1,True,100.0,20783,1.694,1.18365,1.18345,-0.0169,False,1.18355,1.1953855000000002,1.1954855000000002,STOP,-1.008449157196578,-1.008449157196578,2017,17
ES,Index,1512950400,1513382400,1513551600,1513551600,1514242800,-1,False,72.33,-99168,2.407,2683.0,2683.0,0.0,True,2682.75,2709.5775,2687.0,TIME,-0.15841953219644023,-0.15841953219644023,2017,30
6A,FX,1513555200,1513987200,1514242800,1514242800,1514430000,-1,False,41.67,-53380,5.167,0.7713,0.7716,0.0389,True,0.7715,0.779215,0.779315,STOP,-1.012961762799743,-1.012961762799743,2017,14
6E,FX,1513555200,1513987200,1514242800,1514242800,1514847600,1,True,91.87,-27665,2.129,1.1944,1.19455,0.0126,False,1.1945,1.1825549999999998,1.2069,TIME,1.0380912515697105,1.0380912515697103,2017,24
6E,FX,1514764800,1515196800,1515366000,1515366000,1515769200,-1,True,100.0,35720,2.602,1.2078,1.2081,0.0248,True,1.208,1.22008,1.22018,STOP,-1.0082781456953709,-1.0082781456953709,2018,29
ES,Index,1514764800,1515196800,1515366000,1515366000,1515697200,-1,True,94.26,67904,1.734,2742.5,2741.75,-0.0273,False,2742.25,2769.6725,2769.9225,STOP,-1.0091166013310284,-1.0091166013310284,2018,24
6A,FX,1515369600,1515801600,1515970800,1515970800,1516575600,1,False,53.43,25484,2.329,0.7916,0.7914,-0.0253,True,0.7915,0.783585,0.7997,TIME,1.0360075805432705,1.0360075805432705,2018,29
6E,FX,1515369600,1515801600,1515970800,1515970800,1516575600,-1,True,100.0,16823,1.215,1.22475,1.22495,0.0163,True,1.22485,1.2370985,1.2299,TIME,-0.4122953831081356,-0.41229538310813557,2018,29
ES,Index,1515369600,1515801600,1515970800,1515970800,1516575600,-1,False,74.36,-95188,2.348,2789.25,2789.75,0.0179,True,2789.5,2817.395,2804.25,TIME,-0.5287685965226744,-0.5287685965226744,2018,29
ES,Index,1515974400,1516406400,1516575600,1516618800,1516690800,-1,True,83.77,45037,1.1,2812.75,2804.0,-0.3111,False,2812.5,2840.625,2840.875,STOP,-1.008888888888889,-1.0088888888888887,2018,6
ES,Index,1516579200,1517011200,1517180400,1517180400,1517785200,-1,True,92.97,44005,1.071,2874.75,2874.25,-0.0174,False,2874.5,2903.245,2757.25,TIME,4.0789702556966425,4.0789702556966425,2018,30
ES,Index,1517788800,1518220800,1518390000,1518390000,1518418800,-1,True,100.0,113370,2.589,2621.5,2628.25,0.2575,True,2628.0,2654.28,2654.53,STOP,-1.009512937595137,-1.009512937595137,2018,3
ES,Index,1518393600,1518825600,1518994800,1518994800,1519153200,1,True,81.0,-107214,2.308,2736.25,2734.5,-0.064,True,2734.75,2707.4025,2707.1525,STOP,-1.0091416034372376,-1.0091416034372376,2018,11
6E,FX,1518393600,1518825600,1518994800,1519009200,1519239600,1,True,94.28,-13534,0.961,1.243,1.24335,0.0282,False,1.2431,1.230669,1.230569,STOP,-1.0080444051162474,-1.0080444051162472,2018,16
ES,Index,1518998400,1519430400,1519599600,1519599600,1519671600,-1,False,69.37,-65669,1.39,2746.0,2751.5,0.2003,True,2751.25,2778.7625,2779.0125,STOP,-1.0090867787369313,-1.009086778736931,2018,6
6E,FX,1519603200,1520035200,1520204400,1520204400,1520805600,-1,True,97.13,11851,0.848,1.2332,1.2356,0.1946,True,1.2355,1.2478550000000002,1.2319,TIME,0.2913800080938929,0.2913800080938929,2018,30
6E,FX,1520812800,1521244800,1521410400,1521410400,1522015200,-1,True,99.37,13408,0.968,1.2377,1.2376,-0.0081,False,1.2376,1.249976,1.24375,TIME,-0.4969295410471782,-0.4969295410471782,2018,30
6E,FX,1521417600,1521849600,1522015200,1522015200,1522620000,1,True,95.74,-13641,0.987,1.2436,1.24365,0.004,False,1.2437,1.231263,1.2387,TIME,-0.40202621210903877,-0.40202621210903877,2018,24
ES,Index,1521417600,1521849600,1522015200,1522015200,1522044000,-1,False,64.05,-38813,0.855,2596.5,2595.0,-0.0578,False,2596.25,2622.2125,2622.4625,STOP,-1.0096292729898928,-1.0096292729898928,2018,3
6A,FX,1521417600,1521849600,1522015200,1522159200,1522620000,1,False,58.74,18704,1.733,0.7697,0.7706,0.1169,False,0.7698,0.7621020000000001,0.769,TIME,-0.10392309690829085,-0.10392309690829084,2018,14
6A,FX,1522022400,1522454400,1522620000,1522620000,1523224800,-1,False,51.89,-9851,0.913,0.7681,0.7691,0.1302,True,0.769,0.77669,0.7671,TIME,0.24707412223667263,0.24707412223667263,2018,30
ES,Index,1522022400,1522454400,1522620000,1522620000,1522908000,-1,True,89.47,143510,2.951,2637.5,2635.0,-0.0948,False,2637.25,2663.6225,2663.8725,STOP,-1.009479571523365,-1.009479571523365,2018,21
6A,FX,1522627200,1523059200,1523224800,1523224800,1523354400,-1,False,46.21,-8149,0.752,0.7674,0.767,-0.0521,False,0.7673,0.774973,0.775073,STOP,-1.0130327121073934,-1.0130327121073934,2018,10
6E,FX,1523232000,1523664000,1523829600,1523829600,1524434400,-1,True,99.65,13082,0.947,1.2388,1.2385,-0.0242,False,1.2387,1.2510869999999998,1.23305,TIME,0.4561233551303732,0.4561233551303732,2018,30
6E,FX,1524441600,1524873600,1525039200,1525039200,1525168800,1,True,93.89,-20882,1.472,1.2176,1.217,-0.0493,True,1.2171,1.2049290000000001,1.2048290000000001,STOP,-1.008216251745947,-1.008216251745947,2018,10
6A,FX,1525651200,1526083200,1526248800,1526248800,1526853600,-1,False,34.59,-11094,1.029,0.7538,0.7543,0.0663,True,0.7542,0.761742,0.753,TIME,0.15910898965791287,0.15910898965791287,2018,30
ES,Index,1525651200,1526083200,1526248800,1526248800,1526853600,-1,False,78.05,-66878,1.364,2728.0,2727.25,-0.0275,False,2727.75,2755.0275,2729.0,TIME,-0.04582531390340024,-0.045825313903400236,2018,30
ES,Index,1527465600,1527897600,1528063200,1528063200,1528293600,-1,False,71.27,-61165,1.236,2734.75,2731.0,-0.1371,False,2734.5,2761.845,2762.095,STOP,-1.009142439202772,-1.009142439202772,2018,17
6E,FX,1527465600,1527897600,1528063200,1528192800,1528668000,1,True,82.52,-16707,1.247,1.16695,1.1673,0.03,False,1.16705,1.1553795,1.1778,TIME,0.9211259157705358,0.9211259157705358,2018,21
ES,Index,1528070400,1528502400,1528668000,1528668000,1529272800,1,False,78.02,38057,0.765,2779.25,2771.0,-0.2968,True,2771.25,2743.5375,2779.75,TIME,0.3067207938655841,0.3067207938655841,2018,30
6A,FX,1529280000,1529712000,1529877600,1529877600,1530050400,1,True,16.26,-27864,2.552,0.744,0.7442,0.0269,False,0.7441,0.736659,0.736559,STOP,-1.0134390538906088,-1.0134390538906088,2018,13
6E,FX,1529280000,1529712000,1529877600,1529877600,1530482400,-1,False,65.49,-52107,3.599,1.1734,1.1741,0.0597,True,1.174,1.18574,1.1739,TIME,0.008517887563883218,0.008517887563883218,2018,30
6E,FX,1531094400,1531526400,1531692000,1531692000,1532296800,-1,False,61.98,-12390,0.876,1.17405,1.17375,-0.0256,False,1.17395,1.1856895,1.1775,TIME,-0.3023978874739079,-0.3023978874739079,2018,30
6E,FX,1533513600,1533945600,1534111200,1534111200,1534716000,-1,False,57.85,-12260,0.868,1.144,1.1417,-0.201,False,1.1439,1.155339,1.1461999999999999,TIME,-0.20106652679429746,-0.20106652679429746,2018,30
6E,FX,1534118400,1534550400,1534716000,1534716000,1534860000,-1,False,54.16,-12354,0.877,1.1461,1.1461,0.0,True,1.146,1.15746,1.15756,STOP,-1.0087260034904029,-1.0087260034904029,2018,11
ES,Index,1534723200,1535155200,1535320800,1535320800,1535551200,-1,False,71.29,-55519,1.146,2876.5,2877.75,0.0435,True,2877.5,2906.275,2906.525,STOP,-1.008688097306693,-1.008688097306693,2018,17
6E,FX,1535932800,1536364800,1536530400,1536530400,1537135200,1,False,57.07,15182,1.075,1.1559,1.15555,-0.0303,True,1.15565,1.1440935,1.17095,TIME,1.323930255700244,1.323930255700244,2018,30
ES,Index,1536537600,1536969600,1537135200,1537164000,1537452000,-1,False,70.94,-40012,0.839,2906.0,2903.5,-0.086,False,2905.75,2934.8075,2935.0575,STOP,-1.0086036307321653,-1.008603630732165,2018,21
6A,FX,1537142400,1537574400,1537740000,1537740000,1538344800,1,True,0.0,-23691,2.213,0.7292,0.7269,-0.3154,True,0.727,0.71973,0.7229,TIME,-0.5639614855570829,-0.5639614855570829,2018,30
ES,Index,1537747200,1538179200,1538344800,1538344800,1538949600,-1,True,84.36,47954,1.027,2921.75,2922.5,0.0257,True,2922.25,2951.4725,2897.75,TIME,0.8383950722901873,0.8383950722901873,2018,30
6E,FX,1538352000,1538784000,1538949600,1538949600,1539554400,-1,False,52.57,-10797,0.81,1.1586,1.1586,0.0,True,1.1585,1.170085,1.1611,TIME,-0.22442813983598928,-0.22442813983598928,2018,30
6E,FX,1539561600,1539993600,1540159200,1540159200,1540764000,-1,False,45.91,-13202,0.988,1.1561,1.15665,0.0476,True,1.15655,1.1681155,1.1443,TIME,1.0591846439842525,1.0591846439842525,2018,30
ES,Index,1541376000,1541808000,1541977200,1541977200,1542034800,1,True,83.06,-64986,1.376,2778.75,2778.75,0.0,True,2779.0,2751.21,2750.96,STOP,-1.0089960417416324,-1.0089960417416324,2018,5
