instrument,ts,side,fcode,r,bars,reason,klass
AUDUSD,2013-10-30 00:00:00+00:00,long,1,-1.013292121819777,8,SL,fx_major
AUDNZD,2013-10-30 00:00:00+00:00,long,1,-1.0421292024942577,2,SL,fx_cross
EURGBP,2013-10-31 00:00:00+00:00,long,1,-1.025041748749012,4,SL,fx_cross
EURUSD,2013-10-31 00:00:00+00:00,long,1,-1.0420702305159157,0,SAME_BAR_SL,fx_major
AUDCAD,2013-10-31 00:00:00+00:00,long,1,-1.0207405466117563,7,SL,fx_cross
GBPCHF,2013-10-31 00:00:00+00:00,short,3,-1.0182581867145424,4,SL,fx_cross
EURUSD,2013-11-01 00:00:00+00:00,long,2,-1.018427051826678,2,SL,fx_major
EURCAD,2013-11-01 00:00:00+00:00,long,1,-1.0458622428820443,1,SL,fx_cross
GBPCAD,2013-11-01 00:00:00+00:00,long,1,-1.0400672055030087,2,SL,fx_cross
USDCHF,2013-11-01 00:00:00+00:00,short,3,-1.013274092980857,5,SL,fx_major
CADCHF,2013-11-03 00:00:00+00:00,short,4,-1.033558412046544,4,SL,fx_cross
EURNZD,2013-11-05 00:00:00+00:00,long,1,-1.0145610780460415,2,SL,fx_cross
NZDCHF,2013-11-05 00:00:00+00:00,short,4,-1.0149274785351319,2,SL,fx_cross
GBPUSD,2013-11-05 00:00:00+00:00,short,4,-1.0351008525615955,1,SL,fx_major
NZDJPY,2013-11-06 00:00:00+00:00,short,3,-1.008877568342573,22,SL,fx_cross
EURUSD,2013-11-07 00:00:00+00:00,long,1,-1.0350317080018716,0,SAME_BAR_SL,fx_major
EURGBP,2013-11-07 00:00:00+00:00,long,2,-1.0226187605497954,0,SAME_BAR_SL,fx_cross
GBPCHF,2013-11-07 00:00:00+00:00,short,3,-1.0178197728993184,19,SL,fx_cross
AUDCHF,2013-11-07 00:00:00+00:00,short,3,-1.0258833873108573,0,SAME_BAR_SL,fx_cross
CADJPY,2013-11-07 00:00:00+00:00,short,4,-1.013909266378972,7,SL,fx_cross
GBPAUD,2013-11-07 00:00:00+00:00,short,3,-1.0603985325743197,1,SL,fx_cross
ES,2013-11-08 00:00:00+00:00,short,4,-1.0069893167701864,4,SL,indices
EURGBP,2013-11-11 00:00:00+00:00,short,4,-1.036321855431002,1,SL,fx_cross
AUDCAD,2013-11-11 00:00:00+00:00,long,2,-1.0374500954979533,1,SL,fx_cross
EURNZD,2013-11-12 00:00:00+00:00,short,4,-1.0373264268192977,0,SAME_BAR_SL,fx_cross
AUDUSD,2013-11-12 00:00:00+00:00,long,2,-1.028101626278944,0,SAME_BAR_SL,fx_major
NZDCHF,2013-11-12 00:00:00+00:00,long,1,-1.0284580619111707,0,SAME_BAR_SL,fx_cross
NQ,2013-11-13 00:00:00+00:00,short,4,-1.0081888425047438,0,SAME_BAR_SL,indices
AUDNZD,2013-11-13 00:00:00+00:00,long,2,-1.0244271522665636,8,SL,fx_cross
CL,2013-11-13 00:00:00+00:00,short,3,-1.0058392263056093,17,SL,commodities
USDCHF,2013-11-13 00:00:00+00:00,long,1,-1.0244386727142518,5,SL,fx_major
NZDUSD,2013-11-13 00:00:00+00:00,short,3,2.4890169060513303,68,TP,fx_major
GBPJPY,2013-11-19 00:00:00+00:00,short,3,-1.0235016058394166,2,SL,fx_cross
USDJPY,2013-11-19 00:00:00+00:00,short,3,-1.0408824489795931,1,SL,fx_major
CADJPY,2013-11-19 00:00:00+00:00,short,3,-1.022770002124495,2,SL,fx_cross
EURGBP,2013-11-20 00:00:00+00:00,long,2,-1.037523370786517,2,SL,fx_cross
AUDCAD,2013-11-20 00:00:00+00:00,long,2,-1.041241881821604,0,SAME_BAR_SL,fx_cross
GBPUSD,2013-11-20 00:00:00+00:00,short,4,-1.0219609801067442,6,SL,fx_major
NQ,2013-11-20 00:00:00+00:00,long,1,2.490977610062893,4,TP,indices
USDJPY,2013-11-21 00:00:00+00:00,short,3,-1.0215717467581997,2,SL,fx_major
GBPAUD,2013-11-21 00:00:00+00:00,short,3,-1.0671257064093707,0,SAME_BAR_SL,fx_cross
AUDUSD,2013-11-21 00:00:00+00:00,long,2,-1.0254395685216964,0,SAME_BAR_SL,fx_major
EURUSD,2013-11-21 00:00:00+00:00,short,3,-1.0158153523929205,5,SL,fx_major
USDCHF,2013-11-22 00:00:00+00:00,long,2,-1.0282528832318762,0,SAME_BAR_SL,fx_major
