instrument,ts,side,fcode,r,bars,reason,klass
EURCHF,2025-04-06 21:00:00+00:00,long,2,-1.0810214241486051,0,SAME_BAR_SL,fx_cross
AUDNZD,2025-04-07 01:00:00+00:00,long,2,-1.0134198668442076,51,SL,fx_cross
GBPAUD,2025-04-07 13:00:00+00:00,short,4,2.490880456933973,116,TP,fx_cross
AUDCAD,2025-04-07 13:00:00+00:00,long,1,2.490144184324213,35,TP,fx_cross
NZDJPY,2025-04-07 13:00:00+00:00,long,1,-1.0085575065715358,8,SL,fx_cross
AUDCHF,2025-04-07 13:00:00+00:00,long,1,-1.0091689285714285,7,SL,fx_cross
AUDJPY,2025-05-15 21:00:00+00:00,long,1,-1.0238568729940396,24,SL,fx_cross
EURNZD,2025-06-12 21:00:00+00:00,short,3,2.462206886858749,14,TP,fx_cross
GBPJPY,2025-10-06 13:00:00+00:00,short,3,-1.0915192233009716,0,SAME_BAR_SL,fx_cross
AUDCHF,2025-10-17 13:00:00+00:00,long,2,2.489734666190646,204,TP,fx_cross
GBPCAD,2025-10-29 17:00:00+00:00,long,1,-1.100211617933726,0,SAME_BAR_SL,fx_cross
EURCHF,2025-11-12 10:00:00+00:00,long,2,-1.1638354430379605,1,SL,fx_cross
AUDCHF,2025-12-11 14:00:00+00:00,long,1,-1.0435665198237873,6,SL,fx_cross
AUDCHF,2025-12-15 02:00:00+00:00,long,1,-1.0170219473081326,11,SL,fx_cross
GBPCHF,2025-12-15 02:00:00+00:00,long,2,2.467608517110265,117,TP,fx_cross
GBPCHF,2026-01-21 10:00:00+00:00,long,2,-1.024373563218391,26,SL,fx_cross
SI,2026-02-02 03:00:00+00:00,long,2,2.495575678776291,1,TP,metals
