instrument,ts,side,fcode,r,bars,reason,klass
CL,2013-03-08 19:00:00+00:00,short,4,-1.0240577049180322,0,SAME_BAR_SL,commodities
EURJPY,2013-03-11 01:00:00+00:00,short,3,2.4855245326716293,29,TP,fx_cross
NZDJPY,2013-03-11 01:00:00+00:00,short,3,-1.010257925118813,109,SL,fx_cross
NZDUSD,2013-03-11 13:00:00+00:00,short,3,-1.0191645735629802,47,SL,fx_major
GBPUSD,2013-03-11 13:00:00+00:00,short,4,-1.057520137741043,9,SL,fx_major
AUDNZD,2013-03-11 17:00:00+00:00,long,2,2.4589260584588155,7,TP,fx_cross
ES,2013-03-12 02:00:00+00:00,long,1,-1.0228045977011495,3,SL,indices
EURGBP,2013-03-12 09:00:00+00:00,short,3,-1.0845909766637931,0,SAME_BAR_SL,fx_cross
EURCHF,2013-03-12 09:00:00+00:00,long,1,-1.0620360305343541,6,SL,fx_cross
CHFJPY,2013-03-12 13:00:00+00:00,short,3,-1.0309970370370358,17,SL,fx_cross
AUDCHF,2013-03-12 13:00:00+00:00,long,1,2.445258527791687,7,TP,fx_cross
ES,2013-03-12 22:00:00+00:00,short,3,-1.0275155555555555,8,SL,indices
NQ,2013-03-12 22:00:00+00:00,short,3,2.478542754491018,18,TP,indices
GBPCHF,2013-03-13 01:00:00+00:00,short,3,-1.0660344430538116,2,SL,fx_cross
GBPAUD,2013-03-13 01:00:00+00:00,short,4,-1.0298929795467104,12,SL,fx_cross
YM,2013-03-13 02:00:00+00:00,long,1,-1.0227833663366337,17,SL,indices
USDCHF,2013-03-13 09:00:00+00:00,short,3,-1.0503628259838806,1,SL,fx_major
GBPJPY,2013-03-13 09:00:00+00:00,short,3,-1.0217764948453607,5,SL,fx_cross
EURGBP,2013-03-13 09:00:00+00:00,long,1,-1.0764472357086885,0,SAME_BAR_SL,fx_cross
GBPCHF,2013-03-13 13:00:00+00:00,short,4,-1.0855973721055447,0,SAME_BAR_SL,fx_cross
CL,2013-03-13 18:00:00+00:00,short,4,-1.0073703482587064,10,SL,commodities
CADJPY,2013-03-14 05:00:00+00:00,short,3,-1.036132115384615,7,SL,fx_cross
USDJPY,2013-03-14 05:00:00+00:00,short,3,2.43875206349206,2,TP,fx_major
AUDUSD,2013-03-14 13:00:00+00:00,short,4,-1.0325517627308334,29,SL,fx_major
EURUSD,2013-03-14 13:00:00+00:00,short,3,-1.0254034500784102,5,SL,fx_major
CADCHF,2013-03-14 13:00:00+00:00,long,1,-1.0353711760707003,0,SAME_BAR_SL,fx_cross
EURCAD,2013-03-14 13:00:00+00:00,short,4,-1.0459911028730329,5,SL,fx_cross
AUDCAD,2013-03-14 17:00:00+00:00,long,2,-1.0671886230248284,0,SAME_BAR_SL,fx_cross
AUDCHF,2013-03-15 01:00:00+00:00,long,1,-1.054533227565691,2,SL,fx_cross
GBPUSD,2013-03-15 05:00:00+00:00,short,3,-1.1845099455930308,1,SL,fx_major
AUDCAD,2013-03-15 05:00:00+00:00,long,1,-1.080067152496615,1,SL,fx_cross
GBPCHF,2013-03-15 09:00:00+00:00,long,1,-1.0308487850106243,1,SL,fx_cross
CADCHF,2013-03-15 09:00:00+00:00,long,2,-1.0232646188441643,33,SL,fx_cross
NZDCHF,2013-03-15 09:00:00+00:00,long,1,-1.0767180212014165,0,SAME_BAR_SL,fx_cross
EURAUD,2013-03-15 13:00:00+00:00,long,1,-1.101374131218452,2,SL,fx_cross
EURCHF,2013-03-15 13:00:00+00:00,long,1,-1.1578968807339076,0,SAME_BAR_SL,fx_cross
AUDJPY,2013-03-15 13:00:00+00:00,long,2,-1.0222685989562421,2,SL,fx_cross
CADJPY,2013-03-15 13:00:00+00:00,long,2,-1.027816405627821,2,SL,fx_cross
CL,2013-03-15 14:00:00+00:00,long,1,-1.0255097435897444,2,SL,commodities
GBPNZD,2013-03-17 21:00:00+00:00,short,3,2.4661360210457093,21,TP,fx_cross
EURUSD,2013-03-17 21:00:00+00:00,long,2,-1.031352499459926,0,SAME_BAR_SL,fx_major
ES,2013-03-17 22:00:00+00:00,long,2,-1.025703896103896,0,SAME_BAR_SL,indices
GBPAUD,2013-03-18 09:00:00+00:00,long,2,-1.0294453506869126,31,SL,fx_cross
GBPCAD,2013-03-18 13:00:00+00:00,short,3,-1.0287480937344193,6,SL,fx_cross
EURCAD,2013-03-18 13:00:00+00:00,long,2,-1.046983324873093,17,SL,fx_cross
AUDNZD,2013-03-18 13:00:00+00:00,long,2,-1.0419605234979168,14,SL,fx_cross
