instrument,model,side,bias,quintile,entry_ts,exit_ts,entry,exit,r,pnl_pct,bars,reason,partial_tp1
BMY,S3,long,RISK_ON,5,2014-07-23 00:00:00+00:00,2014-07-24 00:00:00+00:00,49.369319999999995,48.65678571428571,-1.0,-0.005,1,SL,False
TSN,S3,long,RISK_ON,5,2014-07-23 00:00:00+00:00,2014-07-29 00:00:00+00:00,39.32928999999999,39.32928999999999,0.26949145257090823,0.0013474572628545411,4,STOP_AFTER_TP1,True
SNPS,S3,long,RISK_ON,5,2014-07-24 00:00:00+00:00,2014-07-29 00:00:00+00:00,39.06903,38.66,-0.7946275681961489,-0.003973137840980744,3,SMA50_BREAK,False
DISCK,S3,long,RISK_ON,5,2014-07-24 00:00:00+00:00,2014-08-07 00:00:00+00:00,81.36128,79.97553928571429,-1.0,-0.005,10,SL,False
DISCA,S3,long,RISK_ON,5,2014-07-24 00:00:00+00:00,2014-07-31 00:00:00+00:00,82.96287999999998,81.2875,-1.0,-0.005,5,SL,False
GOOGL,S3,long,RISK_ON,5,2014-07-25 00:00:00+00:00,2014-07-31 00:00:00+00:00,598.67808,590.3292928571428,-1.0,-0.005,4,SL,False
ORLY,S3,long,RISK_ON,5,2014-07-28 00:00:00+00:00,2014-07-29 00:00:00+00:00,151.73158,150.26,-0.7165189664964517,-0.0035825948324822586,1,SMA50_BREAK,False
CTSH,S3,long,RISK_ON,5,2014-07-29 00:00:00+00:00,2014-07-30 00:00:00+00:00,50.690639999999995,50.213385714285714,-1.0,-0.005,1,SL,False
ORLY,S3,long,RISK_ON,5,2014-07-30 00:00:00+00:00,2014-07-31 00:00:00+00:00,152.60244999999998,150.0,-0.7021584536221538,-0.003510792268110769,1,SMA50_BREAK,False
AMGN,S2,long,RISK_ON,5,2014-07-30 00:00:00+00:00,2014-10-01 00:00:00+00:00,130.14001,138.82,1.063093097187088,0.0053154654859354404,44,EMA_TRAIL,True
FE,S5,long,DEFENSIVE,5,2014-08-01 00:00:00+00:00,2014-08-04 00:00:00+00:00,31.091059999999995,30.4,-1.0,-0.005,1,SL,False
AEE,S5,long,DEFENSIVE,5,2014-08-01 00:00:00+00:00,2014-08-04 00:00:00+00:00,38.388349999999996,37.67,-1.0,-0.005,1,SL,False
D,S5,long,DEFENSIVE,5,2014-08-01 00:00:00+00:00,2014-08-04 00:00:00+00:00,67.09702999999999,65.85,-1.0,-0.005,1,SL,False
EBAY,S3,long,RISK_ON,5,2014-08-18 00:00:00+00:00,2014-09-05 00:00:00+00:00,53.163109999999996,53.9,0.9618178875531702,0.004809089437765851,13,EMA_TRAIL,True
