instrument,model,side,bias,quintile,entry_ts,exit_ts,entry,exit,r,pnl_pct,bars,reason,partial_tp1
AVGO,S3,long,RISK_ON,3,2017-01-11 00:00:00+00:00,2017-01-12 00:00:00+00:00,179.59941999999998,175.40678571428572,-1.0,-0.005,1,SL,False
VNO,S3,long,RISK_ON,3,2017-01-11 00:00:00+00:00,2017-02-01 00:00:00+00:00,104.15404999999998,104.15404999999998,1.1488997142863493,0.005744498571431746,14,STOP_AFTER_TP1,True
AVB,S3,long,RISK_ON,3,2017-01-12 00:00:00+00:00,2017-01-27 00:00:00+00:00,176.76658999999998,172.1576857142857,-1.0,-0.005,10,SL,False
MAA,S3,long,RISK_ON,3,2017-01-12 00:00:00+00:00,2017-02-01 00:00:00+00:00,96.20611,93.53434642857144,-1.0,-0.005,13,SL,False
AVGO,S3,long,RISK_ON,3,2017-01-12 00:00:00+00:00,2017-03-21 00:00:00+00:00,179.03886,216.02,5.061748140263663,0.025308740701318312,46,EMA_TRAIL,True
ESS,S3,long,RISK_ON,3,2017-01-12 00:00:00+00:00,2017-02-01 00:00:00+00:00,228.65842999999998,222.232325,-1.0,-0.005,13,SL,False
MO,S3,long,RISK_ON,3,2017-01-12 00:00:00+00:00,2017-03-23 00:00:00+00:00,67.57751,74.02,8.698997503866156,0.04349498751933078,48,EMA_TRAIL,True
MMM,S3,long,RISK_ON,3,2017-01-12 00:00:00+00:00,2017-01-24 00:00:00+00:00,177.61744,174.95395357142857,-1.0,-0.005,7,SL,False
DTE,S3,long,RISK_ON,3,2017-01-12 00:00:00+00:00,2017-01-30 00:00:00+00:00,98.46837,96.80732142857143,-1.0,-0.005,11,SL,False
FLR,S1,long,RISK_ON,3,2017-01-12 00:00:00+00:00,2017-01-17 00:00:00+00:00,53.61356,52.55,-0.3044266025503418,-0.0015221330127517091,2,SMA50_BREAK,False
AEE,S3,long,RISK_ON,3,2017-01-13 00:00:00+00:00,2017-03-10 00:00:00+00:00,52.021969999999996,53.89,2.4903092516461243,0.012451546258230622,38,EMA_TRAIL,True
IBM,S3,long,RISK_ON,3,2017-01-13 00:00:00+00:00,2017-03-09 00:00:00+00:00,167.50733999999997,177.18,2.504602585183255,0.012523012925916274,37,EMA_TRAIL,True
UDR,S3,long,RISK_ON,3,2017-01-13 00:00:00+00:00,2017-01-27 00:00:00+00:00,35.66563,34.9275,-1.0,-0.005,9,SL,False
HCA,S2,long,RISK_ON,3,2017-01-17 00:00:00+00:00,2017-03-21 00:00:00+00:00,81.01093,82.62,0.4495234970871843,0.0022476174854359214,44,SMA50_BREAK,False
DOV,S3,long,RISK_ON,3,2017-01-18 00:00:00+00:00,2017-01-30 00:00:00+00:00,78.4784,78.4784,0.7454804507521834,0.003727402253760917,8,STOP_AFTER_TP1,True
AIV,S3,long,RISK_ON,3,2017-01-18 00:00:00+00:00,2017-01-30 00:00:00+00:00,44.504459999999995,43.85232142857143,-1.0,-0.005,8,SL,False
WLTW,S3,long,RISK_ON,3,2017-01-19 00:00:00+00:00,2017-01-27 00:00:00+00:00,125.61548999999998,125.61548999999998,0.5198855369498113,0.0025994276847490566,6,STOP_AFTER_TP1,True
PEG,S3,long,RISK_ON,3,2017-01-20 00:00:00+00:00,2017-01-23 00:00:00+00:00,43.783739999999995,43.2225,-1.0,-0.005,1,SL,False
CPB,S3,long,RISK_ON,3,2017-01-26 00:00:00+00:00,2017-02-06 00:00:00+00:00,62.68261999999999,62.68261999999999,0.3426190899635202,0.0017130954498176011,7,STOP_AFTER_TP1,True
A,S3,long,RISK_ON,3,2017-01-26 00:00:00+00:00,2017-04-04 00:00:00+00:00,48.21816999999999,52.62,2.71203674995608,0.0135601837497804,47,EMA_TRAIL,True
DOV,S3,long,RISK_ON,3,2017-01-30 00:00:00+00:00,2017-03-07 00:00:00+00:00,78.50843,79.39,0.9253008065770467,0.004626504032885234,25,EMA_TRAIL,True
CTXS,S1,long,RISK_ON,3,2017-01-30 00:00:00+00:00,2017-02-01 00:00:00+00:00,91.22112999999999,85.54427,-1.0,-0.005,2,SL,False
AMZN,S3,long,RISK_ON,3,2017-01-31 00:00:00+00:00,2017-02-03 00:00:00+00:00,824.3034799999999,810.6064892857142,-1.0,-0.005,3,SL,False
FIS,S3,long,RISK_ON,3,2017-02-01 00:00:00+00:00,2017-02-07 00:00:00+00:00,79.09901999999998,78.30446428571429,-1.0,-0.005,4,SL,False
SYK,S3,long,RISK_ON,3,2017-02-01 00:00:00+00:00,2017-04-05 00:00:00+00:00,123.24311999999999,131.18,3.1192025581034493,0.015596012790517247,44,EMA_TRAIL,True
ORCL,S3,long,RISK_ON,3,2017-02-01 00:00:00+00:00,2017-04-06 00:00:00+00:00,39.87984,44.18,8.111993077613747,0.04055996538806873,45,EMA_TRAIL,True
AAPL,S2,long,RISK_ON,3,2017-02-01 00:00:00+00:00,2017-06-09 00:00:00+00:00,128.87875,148.98,1.3922182026104286,0.0069610910130521435,89,EMA_TRAIL,True
MON,S3,long,RISK_ON,3,2017-02-01 00:00:00+00:00,2017-02-08 00:00:00+00:00,108.56845999999999,107.30326428571429,-1.0,-0.005,5,SL,False
AJG,S3,long,RISK_ON,3,2017-02-01 00:00:00+00:00,2017-03-21 00:00:00+00:00,53.49343999999999,56.01,4.595700628666727,0.022978503143333634,33,EMA_TRAIL,True
GPN,S3,long,RISK_ON,3,2017-02-01 00:00:00+00:00,2017-03-02 00:00:00+00:00,77.12704999999998,78.27,1.524698104224402,0.007623490521122011,20,EMA_TRAIL,True
V,S3,long,RISK_ON,3,2017-02-01 00:00:00+00:00,2017-03-21 00:00:00+00:00,82.52243999999999,88.06,4.396170146281524,0.02198085073140762,33,EMA_TRAIL,True
KMI,S3,long,RISK_ON,3,2017-02-01 00:00:00+00:00,2017-02-07 00:00:00+00:00,22.252229999999997,22.252229999999997,0.37466492812565033,0.0018733246406282516,4,STOP_AFTER_TP1,True
RMD,S3,long,RISK_ON,3,2017-02-01 00:00:00+00:00,2017-03-08 00:00:00+00:00,67.01695,70.73,2.231146249796698,0.011155731248983489,24,EMA_TRAIL,True
INTU,S3,long,RISK_ON,3,2017-02-02 00:00:00+00:00,2017-02-08 00:00:00+00:00,117.94782999999998,115.72903571428571,-1.0,-0.005,4,SL,False
EXPE,S3,long,RISK_ON,3,2017-02-02 00:00:00+00:00,2017-02-10 00:00:00+00:00,120.71059,120.71059,0.3030037798543065,0.0015150188992715324,6,STOP_AFTER_TP1,True
IDXX,S2,long,RISK_ON,3,2017-02-02 00:00:00+00:00,2017-05-17 00:00:00+00:00,139.20906999999997,161.04,0.6965738559532819,0.0034828692797664097,72,EMA_TRAIL,True
SWK,S3,long,RISK_ON,3,2017-02-02 00:00:00+00:00,2017-04-13 00:00:00+00:00,122.48235999999999,130.57,2.6150816478959955,0.013075408239479978,49,EMA_TRAIL,True
EQIX,S3,long,RISK_ON,3,2017-02-02 00:00:00+00:00,2017-02-16 00:00:00+00:00,383.46307999999993,377.7373285714286,-1.0,-0.005,10,SL,False
MHK,S3,long,RISK_ON,3,2017-02-03 00:00:00+00:00,2017-02-06 00:00:00+00:00,215.60538999999997,213.14410714285717,-1.0,-0.005,1,SL,False
DHI,S3,long,RISK_ON,3,2017-02-03 00:00:00+00:00,2017-04-20 00:00:00+00:00,29.91989,33.1,4.166046565395362,0.02083023282697681,52,EMA_TRAIL,True
DISH,S3,long,RISK_ON,3,2017-02-06 00:00:00+00:00,2017-02-08 00:00:00+00:00,61.04097999999999,59.96866428571428,-1.0,-0.005,2,SL,False
FB,S3,long,RISK_ON,3,2017-02-06 00:00:00+00:00,2017-04-11 00:00:00+00:00,132.19206,139.92,2.106784937140729,0.010533924685703645,45,EMA_TRAIL,True
DHR,S3,long,RISK_ON,3,2017-02-06 00:00:00+00:00,2017-03-24 00:00:00+00:00,83.07298999999999,86.01,2.2437302722797754,0.011218651361398877,33,EMA_TRAIL,True
MHK,S3,long,RISK_ON,3,2017-02-07 00:00:00+00:00,2017-02-10 00:00:00+00:00,214.21399999999997,211.06035714285716,-1.0,-0.005,3,SL,False
ITW,S3,long,RISK_ON,3,2017-02-07 00:00:00+00:00,2017-03-24 00:00:00+00:00,127.06693999999999,132.77,3.96386624182561,0.01981933120912805,32,EMA_TRAIL,True
SEE,S3,long,RISK_ON,3,2017-02-07 00:00:00+00:00,2017-02-09 00:00:00+00:00,49.549499999999995,49.549499999999995,0.32591378256784365,0.0016295689128392184,2,STOP_AFTER_TP1,True
PHM,S3,long,RISK_ON,3,2017-02-07 00:00:00+00:00,2017-04-05 00:00:00+00:00,21.27125,23.29,3.955419580419606,0.019777097902098032,40,EMA_TRAIL,True
AMZN,S3,long,RISK_ON,3,2017-02-08 00:00:00+00:00,2017-03-21 00:00:00+00:00,820.5297099999999,843.2,1.1657704442353993,0.005828852221176997,28,EMA_TRAIL,True
SJM,S3,long,RISK_ON,3,2017-02-09 00:00:00+00:00,2017-02-17 00:00:00+00:00,137.83769999999998,136.05020714285715,-1.0,-0.005,6,SL,False
ROP,S2,long,RISK_ON,3,2017-02-09 00:00:00+00:00,2017-04-12 00:00:00+00:00,202.40219999999997,205.47,0.4415973020548293,0.0022079865102741466,43,SMA50_BREAK,False
KMI,S3,long,RISK_ON,3,2017-02-13 00:00:00+00:00,2017-02-16 00:00:00+00:00,22.57255,22.092842857142855,-1.0,-0.005,3,SL,False
FIS,S3,long,RISK_ON,3,2017-02-14 00:00:00+00:00,2017-03-16 00:00:00+00:00,80.58049999999999,81.95,1.3325554572034501,0.006662777286017251,21,EMA_TRAIL,True
ALXN,S1,long,RISK_ON,3,2017-02-14 00:00:00+00:00,2017-03-07 00:00:00+00:00,129.62949999999998,129.18,-0.05435781591625548,-0.0002717890795812774,14,SMA50_BREAK,False
SNPS,S2,long,RISK_ON,3,2017-02-16 00:00:00+00:00,2017-05-18 00:00:00+00:00,70.73065999999999,70.93,0.00941964675984816,4.70982337992408e-05,63,SMA50_BREAK,False
MHK,S3,long,RISK_ON,3,2017-02-16 00:00:00+00:00,2017-03-22 00:00:00+00:00,222.00177999999997,227.92,1.3836047538240726,0.006918023769120363,23,EMA_TRAIL,True
NTAP,S2,long,RISK_ON,3,2017-02-16 00:00:00+00:00,2017-04-10 00:00:00+00:00,40.600559999999994,40.41,-0.0872232506406449,-0.0004361162532032245,36,SMA50_BREAK,False
ICE,S3,long,RISK_ON,3,2017-02-16 00:00:00+00:00,2017-02-22 00:00:00+00:00,58.70864999999999,57.73035714285714,-1.0,-0.005,3,SL,False
VRSN,S3,long,RISK_ON,3,2017-02-16 00:00:00+00:00,2017-05-12 00:00:00+00:00,82.00192,89.11,4.6538630743279725,0.023269315371639863,59,EMA_TRAIL,True
DISCA,S3,long,RISK_ON,3,2017-02-17 00:00:00+00:00,2017-02-28 00:00:00+00:00,28.708679999999998,28.708679999999998,0.2895231745486594,0.0014476158727432969,6,STOP_AFTER_TP1,True
INTU,S2,long,RISK_ON,3,2017-02-17 00:00:00+00:00,2017-03-23 00:00:00+00:00,119.97985999999999,119.99,0.003084843630417155,1.5424218152085775e-05,23,SMA50_BREAK,False
MON,S2,long,RISK_ON,3,2017-02-21 00:00:00+00:00,2017-07-12 00:00:00+00:00,110.68056999999997,116.9,2.176913155255808,0.01088456577627904,98,SMA50_BREAK,False
EXPE,S3,long,RISK_ON,3,2017-02-22 00:00:00+00:00,2017-03-31 00:00:00+00:00,120.68055999999999,126.17,1.663559038708421,0.008317795193542105,27,EMA_TRAIL,True
LLL,S3,long,RISK_ON,3,2017-02-23 00:00:00+00:00,2017-03-21 00:00:00+00:00,166.61644999999996,167.25,0.8447374697149612,0.0042236873485748064,18,EMA_TRAIL,True
DISH,S3,long,RISK_ON,3,2017-02-23 00:00:00+00:00,2017-03-02 00:00:00+00:00,61.97190999999999,61.175575,-1.0,-0.005,5,SL,False
SJM,S3,long,RISK_ON,3,2017-02-24 00:00:00+00:00,2017-03-08 00:00:00+00:00,141.32118,138.6182857142857,-1.0,-0.005,8,SL,False
AMG,S3,long,RISK_ON,3,2017-02-24 00:00:00+00:00,2017-03-02 00:00:00+00:00,168.19803,168.19803,0.27716739876297547,0.0013858369938148773,4,STOP_AFTER_TP1,True
DISCK,S3,long,RISK_ON,3,2017-02-27 00:00:00+00:00,2017-03-02 00:00:00+00:00,28.358329999999995,27.79847142857143,-1.0,-0.005,3,SL,False
HAS,S3,long,RISK_ON,3,2017-02-27 00:00:00+00:00,2017-04-04 00:00:00+00:00,97.62753,97.62753,0.30444252506665764,0.0015222126253332882,26,STOP_AFTER_TP1,True
VRSK,S3,long,RISK_ON,3,2017-02-27 00:00:00+00:00,2017-03-07 00:00:00+00:00,83.87379,82.10571428571428,-1.0,-0.005,6,SL,False
ADBE,S3,long,RISK_ON,3,2017-02-28 00:00:00+00:00,2017-05-17 00:00:00+00:00,118.45833999999999,134.33,9.781399716137178,0.048906998580685895,55,EMA_TRAIL,True
DISCA,S3,long,RISK_ON,3,2017-02-28 00:00:00+00:00,2017-03-02 00:00:00+00:00,28.78876,28.240067857142854,-1.0,-0.005,2,SL,False
BSX,S3,long,RISK_ON,3,2017-03-01 00:00:00+00:00,2017-03-16 00:00:00+00:00,24.984959999999997,24.315714285714286,-1.0,-0.005,11,SL,False
AGN,S3,long,RISK_ON,3,2017-03-01 00:00:00+00:00,2017-03-07 00:00:00+00:00,245.53528999999997,240.444625,-1.0,-0.005,4,SL,False
ARNC,S3,long,RISK_ON,3,2017-03-01 00:00:00+00:00,2017-03-03 00:00:00+00:00,29.569539999999996,28.21107142857143,-1.0,-0.005,2,SL,False
NFLX,S3,long,RISK_ON,3,2017-03-01 00:00:00+00:00,2017-03-02 00:00:00+00:00,142.79264999999998,140.86715714285714,-1.0,-0.005,1,SL,False
MAS,S3,long,RISK_ON,3,2017-03-02 00:00:00+00:00,2017-03-06 00:00:00+00:00,34.364329999999995,33.732146428571426,-1.0,-0.005,2,SL,False
UTX,S3,long,RISK_ON,3,2017-03-02 00:00:00+00:00,2017-03-06 00:00:00+00:00,112.80268999999998,112.12810714285715,-1.0,-0.005,2,SL,False
PKI,S3,long,RISK_ON,3,2017-03-02 00:00:00+00:00,2017-03-07 00:00:00+00:00,54.67461999999999,54.20910714285714,-1.0,-0.005,3,SL,False
AON,S3,long,RISK_ON,3,2017-03-02 00:00:00+00:00,2017-03-07 00:00:00+00:00,116.57645999999998,115.54640357142857,-1.0,-0.005,3,SL,False
NDAQ,S3,long,RISK_ON,3,2017-03-02 00:00:00+00:00,2017-03-03 00:00:00+00:00,71.32124999999999,70.71406071428572,-1.0,-0.005,1,SL,False
ARE,S3,long,RISK_ON,3,2017-03-02 00:00:00+00:00,2017-03-03 00:00:00+00:00,117.12701,115.16538571428572,-1.0,-0.005,1,SL,False
LEG,S3,long,RISK_ON,3,2017-03-02 00:00:00+00:00,2017-03-06 00:00:00+00:00,49.539489999999994,49.06036785714286,-1.0,-0.005,2,SL,False
RHT,S3,long,RISK_ON,3,2017-03-02 00:00:00+00:00,2017-03-09 00:00:00+00:00,82.51243,81.51142857142858,-1.0,-0.005,5,SL,False
MCO,S3,long,RISK_ON,3,2017-03-02 00:00:00+00:00,2017-03-21 00:00:00+00:00,112.58246999999999,111.11105714285713,-1.0,-0.005,13,SL,False
NOV,S3,long,RISK_ON,3,2017-03-03 00:00:00+00:00,2017-03-06 00:00:00+00:00,40.42038,39.58717857142857,-1.0,-0.005,1,SL,False
VRTX,S3,long,RISK_ON,3,2017-03-03 00:00:00+00:00,2017-03-21 00:00:00+00:00,90.28018999999999,90.28018999999999,0.2774499343495705,0.0013872496717478526,12,STOP_AFTER_TP1,True
IVZ,S3,long,RISK_ON,3,2017-03-03 00:00:00+00:00,2017-03-10 00:00:00+00:00,32.36232999999999,31.80430357142857,-1.0,-0.005,5,SL,False
CTAS,S3,long,RISK_ON,3,2017-03-03 00:00:00+00:00,2017-04-06 00:00:00+00:00,118.52840999999998,123.21,2.7036689147469284,0.013518344573734643,24,EMA_TRAIL,True
ARE,S3,long,RISK_ON,3,2017-03-03 00:00:00+00:00,2017-03-09 00:00:00+00:00,117.70759,114.25752857142857,-1.0,-0.005,4,SL,False
EXPD,S3,long,RISK_ON,3,2017-03-03 00:00:00+00:00,2017-03-09 00:00:00+00:00,56.55649999999999,55.734028571428574,-1.0,-0.005,4,SL,False
AVB,S3,long,RISK_ON,3,2017-03-03 00:00:00+00:00,2017-03-10 00:00:00+00:00,181.35116999999997,178.08964285714285,-1.0,-0.005,5,SL,False
